County,License Number,Operation Type,Nursery Size,Greenhouse Size,Trade Name,Owner Name,Business Phone,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Location
ALBANY,16258,Nursery Stock Only,10 Acres or Less,,ALTAMONT CTRY VALUESINC,ALTAMONT CTRY VALUESINC,518-861-8061,106,PROSPECT TERRACE,,,ALTAMONT,NY,12009,"106 PROSPECT TERRACE
ALTAMONT, NY 12009
(42.701659, -74.034657)"
ALBANY,10084,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",ALTAMONT ORCHARDS INC,ALTAMONT ORCHARDS INC,518-861-6515,6654,DUNNSVILLE ROAD,,,ALTAMONT,NY,12009,"6654 DUNNSVILLE ROAD
ALTAMONT, NY 12009
(42.721235, -74.016877)"
ALBANY,645434,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",BE GOLDEN FARMS LLC,MARYMICHAEL D'ONOFRIO,732-779-4690,47,GIFFORD HOLLOW ROAD,,,RENSSELAERVILLE,NY,12147,"47 GIFFORD HOLLOW ROAD
RENSSELAERVILLE, NY 12147
(42.531703, -74.135766)"
ALBANY,645435,Nursery Stock Only,10 Acres or Less,,BE GOLDEN FARMS LLC - SELL,MARYMICHAEL D'ONOFRIO,732-779-4690,580,ALBANY SHAKER ROAD @,COLONIE FARMERS MARKET,,ALBANY,NY,12211,"580 ALBANY SHAKER ROAD
ALBANY, NY 12211
(42.719226, -73.787656)"
ALBANY,645436,Nursery Stock Only,10 Acres or Less,,BE GOLDEN FARMS LLC - SELL,MARYMICHAEL D'ONOFRIO,,,WASHINGTON PARK LAKE HOUSE @,HALF MOON MARKET,,ALBANY,NY,12203,
ALBANY,13164,Greenhouse Stock Only,10 Acres or Less,,BRIZZELL'S FLOWERS,BRIZZELL WILLIAM A SR,518-783-3131,562,LOUDON ROAD,POB 33,,NEWTONVILLE,NY,12128,"562 LOUDON ROAD
NEWTONVILLE, NY 12128"
ALBANY,14788,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",BRIZZELLS HOMESTEAD,BRIZZELL GEORGE,518-463-7443,24,BACON LANE,,,LOUDONVILLE,NY,12211,"24 BACON LANE
LOUDONVILLE, NY 12211
(42.70625, -73.751319)"
ALBANY,13441,Nursery Stock Only,10 Acres or Less,,CLOVER LEAF NURSIES INC,CLOVER LEAF NURSERIES INC,518-465-6074,52,EAST ELMWOOD ROAD,,,MENANDS,NY,12204,"52 EAST ELMWOOD ROAD
MENANDS, NY 12204
(42.694619, -73.713789)"
ALBANY,10138,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",COLONIAL ACRES NURSERY,GILLESPIE GARY F,518-456-5348,2552,WESTERN AVENUE,,,ALTAMONT,NY,12009,"2552 WESTERN AVENUE
ALTAMONT, NY 12009
(42.712952, -73.929223)"
ALBANY,14375,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",CONSTANTINE CONST AND FARM INC,CONSTANTINE CONST AND FARM INC,518-458-8294,564,ALBANY SHAKER RD,,,ALBANY,NY,12211,"564 ALBANY SHAKER RD
ALBANY, NY 12211
(42.716584, -73.785583)"
ALBANY,14665,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",CURLINGSTONE FARM,MACINTOSH EVELYN,518-765-2211,5799,DEPOT ROAD,,,VOORHEESVILLE,NY,12186,"5799 DEPOT ROAD
VOORHEESVILLE, NY 12186
(42.678801, -73.959462)"
